prices,address,no_beds,baths,sqft
310000, 1130 Walton Ln Austin TX 78721 ,2,2,960
335000, 12105 Verchota Dr Austin TX 78748 ,3,2,1382
560000, 12321 Capitol Saddlery Trl Austin TX 78732 ,4,3,3109
315000, 9400 Brents Elm Dr Austin TX 78744 ,3,2,1574
273990, The Bellvue Plan Forest Bluff ,3,2,1415
375000, 11417 American Mustang Loop Manor TX 78653 ,3,2,1836
287990, The Denton Plan Tiermo ,3,2,1575
845000, 4509 Tortuga Cv Austin TX 78731 ,4,3,2627
3990000, 1859 Westlake Dr Austin TX 78746 ,6,4,4309
659000, 2601 N Quinlan Park Rd SUITE 701 Austin TX 78732 ,3,4,2680
350000, 708 Little Oak Dr Austin TX 78753 ,3,2,2101
499900, 2205 N Lamar Blvd UNIT 412 Austin TX 78705 ,1,2,1276
310000, 516 E Slaughter Ln #3101 Austin TX 78744 ,3,4,2064
600000, 639 Catalina Ln Austin TX 78737 ,4,4,2943
1895000, 701 Highland Ave Austin TX 78703 ,4,4,3056
750000, 4020 Airport Blvd UNIT 17 Austin TX 78722 ,3,3,2145
1275000, 2314 Westoak Dr Austin TX 78704 ,3,2,1260
409000, 411 W Saint Elmo Rd APT 21 Austin TX 78745 ,2,2,1710
4500000, 210 Lavaca St APT 3604 Austin TX 78701 ,3,4,3147
435000, 6104 Reicher Dr Austin TX 78723 ,5,3,1984
585990, 4416 Speedway Austin TX 78751 ,2,2,1272
219000, 1015 E Yager Ln UNIT 209 Austin TX 78753 ,3,2,967
142000, 2124 Burton Dr APT 138 Austin TX 78741 ,1,1,714
385000, 1105 Dexford Dr Austin TX 78753 ,4,3,2356
525000, 9301 Silk Oak Cv Austin TX 78748 ,4,2,2064
809250, 44 East Ave #1507 Austin TX 78701 ,2,2,1221
875000, 207 Lessin Ln Austin TX 78704 ,3,4,2070
550000, 4901 Allison Cv Austin TX 78741 ,3,3,1652
349000, 6516 Berkman Dr Austin TX 78723 ,2,1,1542
145000, 11404 Walnut Ridge Dr #112 Austin TX 78753 ,1,1,535
5950000, 5404 Maryanna Dr Austin TX 78746 ,6,8,1205
600000, 12504 Silver Spur Austin TX 78727 ,3,2,2339
802500, 12017 Portobella Dr Austin TX 78732 ,4,4,3571
489000, 6103 Pennwood Ln Austin TX 78745 ,3,2,1252
12900000, 2401 Portofino Ridge Dr Austin TX 78735 ,7,11,16722
725000, 11904 Versante Cir Austin TX 78726 ,3,3,2562
151500, 1840 Burton Dr APT 107 Austin TX 78741 ,1,1,378
415000, 4409 Destinys Gate Dr Austin TX 78727 ,3,2,1678
1550000, 9538 Westminster Glen Ave Austin TX 78730 ,5,4,4948
427800, 7501 Lakewood Dr Austin TX 78750 ,2,2,1361
270000, 4530 Best Way Austin TX 78725 ,3,3,1300
4999999, 1603 Patterson Rd Austin TX 78733 ,5,7,9517
599900, 2324 Santa Maria St Austin TX 78702 ,2,2,980
3250000, 4191 Westlake Dr Austin TX 78746 ,5,6,6135
405000, 1325 Saint Stanislaws Dr Austin TX 78748 ,4,3,2542
4350000, 5905 Bold Ruler Way Austin TX 78746 ,5,7,7511
395000, 555 E 5th St APT 725 Austin TX 78701 ,1,1,817
585000, 5409 Woodrow Ave APT A Austin TX 78756 ,3,3,1926
459900, 16101 Windroot St Austin TX 78728 ,3,3,2143
729900, 8110 Ranch Road 2222 APT 98 Austin TX 78730 ,3,3,2133
450000, 4917 Sunset Trl #A Austin TX 78745 ,3,3,1792
335000, 11310 Spicewood Club Dr APT 19 Austin TX 78750 ,2,3,1526
675000, 603 Davis St APT 1804 Austin TX 78701 ,2,2,1252
575000, 1902 Corona Dr Austin TX 78723 ,3,2,1540
475000, 6914 Dubuque Ln Austin TX 78723 ,3,2,1444
499999, 305 W Oltorf St #1 Austin TX 78704 ,2,1,720
475000, 2916 Gonzales St #2 Austin TX 78702 ,2,2,1100
265000, 2109 Thrasher Ln #3 Austin TX 78741 ,3,2,1044
415000, 10505 Beard Ave Austin TX 78748 ,3,3,1945
799000, 3408 Oxen Ct Austin TX 78732 ,5,3,3106
390000, 2001 Faro Dr APT 42 Austin TX 78741 ,3,3,1488
4988888, 8004 Two Coves Dr Austin TX 78730 ,4,5,5597
449000, 5315 Downs Dr Austin TX 78721 ,4,3,1349
700000, 2812 Oak Springs Dr #1 Austin TX 78702 ,3,3,1776
1795000, 4512 Rosedale Ave Austin TX 78756 ,4,3,2650
779000, 1104 Marcy St #C Austin TX 78745 ,4,4,2144
399000, 6917 Cherry Meadow Dr Austin TX 78745 ,4,1,1240
725000, 1207 Luna St #1 Austin TX 78721 ,3,3,2004
185000, 6111 Softwood Dr Austin TX 78744 ,3,3,985
270000, 1421 Dominique Dr Austin TX 78753 ,2,1,925
849000, 5007 Westfield Dr Austin TX 78731 ,4,3,2153
339000, 4714 Cypress Bnd Austin TX 78744 ,4,2,1366
696990, Plan 273 Plan Highpointe: 90ft. lots ,4,3,3243
495000, 925 E 49th St Austin TX 78751 ,3,1,1133
5750000, 3817 Westlake Dr Austin TX 78746 ,3,4,3111
