prices,address,no_beds,baths,sqft
4495000, 401 S La Jolla Ave Los Angeles CA 90048 ,5,6,5544
399000, 630 W 6th St APT 309 Los Angeles CA 90017 ,1,1,680
1788000, 8679 Franklin Ave Los Angeles CA 90069 ,4,6,5630
5199000, 4533 Estrondo Dr Encino CA 91436 ,6,9,9200
599000, 12757 Bromont Ave San Fernando CA 91340 ,3,1,1957
1950000, 8407 Wyndham Rd Los Angeles CA 90046 ,2,2,1797
3799000, 7405 Pyramid Pl Los Angeles CA 90046 ,6,5,4492
2275000, 14756 Weddington St Sherman Oaks CA 91411 ,5,5,3062
1950000, 4500 Don Timoteo Dr Los Angeles CA 90008 ,4,3,2700
195000, 13691 Gavina Ave #648 Plan Santiago Estates ,3,2,1500
49000000, 11490 Orum Rd Los Angeles CA 90049 ,9,15,18850
529000, 817 E 115th St Los Angeles CA 90059 ,3,1,1351
1249999, 3736 Tuller Ave Los Angeles CA 90034 ,3,2,1514
2995000, 15227 Valley Vista Blvd Sherman Oaks CA 91403 ,5,7,4219
450000, 14980 Victory Blvd UNIT 105 Los Angeles CA 91411 ,2,2,1254
3575000, 4451 Lemp Ave North Hollywood CA 91602 ,5,7,5614
1898000, 1558 N Stanley Ave Los Angeles CA 90046 ,2,2,1500
1590000, 9173 Airdrome St Los Angeles CA 90035 ,3,2,1846
1645000, 12 Samoa Way Pacific Palisades CA 90272 ,2,2,1656
1599000, 3600 Multiview Dr Los Angeles CA 90068 ,3,3,2270
825000, 21524 Villena St Woodland Hills CA 91364 ,2,2,1274
315000, 5460 White Oak Ave UNIT C110 Los Angeles CA 91316 ,2,2,990
17500000, 1616 Blue Jay Way Los Angeles CA 90069 ,4,5,5000
3295000, 220 Rees St Playa Del Rey CA 90293 ,5,5,4200
625000, 2600 Stoner Ave Los Angeles CA 90064 ,2,2,1050
699599, 1317 W 51st St Los Angeles CA 90037 ,4,3,1167
899900, 19153 Saticoy St Reseda CA 91335 ,5,3,2660
23750000, 1940 Bel Air Rd Los Angeles CA 90077 ,8,15,17297
160000000, 67 Beverly Park Ct Beverly Hills CA 90210 ,13,25,28660
3149000, 19261 Bernetta Pl Tarzana CA 91356 ,4,5,4498
725000, 4819 Arlington Ave Los Angeles CA 90043 ,3,2,1679
999000, 13408 Pala Ave Sylmar CA 91342 ,5,4,3152
899000, 6146 Longridge Ave Van Nuys CA 91401 ,3,3,1867
899000, 6837 Willis Ave Van Nuys CA 91405 ,3,2,1325
645000, 11154 Archwood St North Hollywood CA 91606 ,3,2,1100
4600000, 4715 Los Feliz Blvd Los Angeles CA 90027 ,6,7,1005
4250000, 8698 Franklin Ave Los Angeles CA 90069 ,4,4,3873
1824500, 3804 Woodcliff Rd Sherman Oaks CA 91403 ,4,2,2050
1195000, 13326 Beach Ave UNIT 206 Los Angeles CA 90292 ,2,2,1850
1350000, 17805 Erwin St Encino CA 91316 ,5,4,3171
14995000, 8356 Sunset View Dr Los Angeles CA 90069 ,5,6,6124
670000, 17150 Burbank Blvd UNIT 28 Los Angeles CA 91316 ,3,3,1870
639000, 1149 N New Hampshire Ave Los Angeles CA 90029 ,3,2,1084
1717000, 114 Vista Pl Venice CA 90291 ,2,1,1060
880000, 10851 Amidon Pl Tujunga CA 91042 ,3,2,1454
849900, 7035 Calhoun Ave Van Nuys CA 91405 ,3,2,2114
6250000, 2833 Deep Canyon Dr Beverly Hills CA 90210 ,6,5,5093
1375000, 11821 Addison St Valley Village CA 91607 ,3,2,2119
