"size","gender","age","edu","wealth"
8,"1",5,"0","3"
8,"1",4,"0","3"
8,"1",2,"0","3"
6,"2",62,"0","5"
6,"2",21,"2","4"
6,"1",7,"0","3"
8,"2",4,"0","4"
8,"2",0,"0","4"
8,"2",20,"3","4"
6,"2",21,"3","5"
8,"2",25,"0","5"
8,"2",6,"1","5"
8,"2",2,"0","5"
7,"1",13,"2","4"
7,"2",25,"3","4"
7,"2",11,"1","3"
7,"2",6,"0","3"
7,"1",30,"2","4"
7,"2",21,"2","4"
6,"1",15,"2","5"
8,"1",6,"0","3"
8,"1",1,"0","3"
8,"2",59,"0","3"
6,"1",5,"0","4"
6,"2",8,"1","4"
9,"1",5,"1","4"
9,"1",12,"2","4"
9,"2",10,"1","4"
9,"1",6,"1","4"
7,"1",59,"2","5"
7,"2",60,"0","5"
7,"2",3,"0","4"
7,"2",80,"0","4"
6,"1",20,"2","2"
7,"2",3,"0","5"
7,"2",24,"3","5"
6,"1",5,"1","3"
7,"1",9,"1","4"
7,"2",7,"1","4"
8,"1",68,"0","4"
8,"2",63,"0","4"
8,"1",15,"2","4"
7,"1",25,"2","5"
7,"2",21,"2","5"
9,"1",24,"2","4"
9,"2",23,"3","4"
9,"2",0,"0","4"
9,"2",50,"0","4"
6,"1",1,"0","3"
6,"2",6,"0","4"
7,"2",10,"1","5"
7,"2",73,"0","5"
11,"2",3,"0","5"
11,"1",0,"0","5"
11,"1",29,"3","5"
11,"2",22,"3","5"
11,"1",2,"0","5"
11,"2",0,"0","5"
6,"2",69,"0","5"
6,"2",19,"3","5"
9,"1",7,"0","5"
9,"1",34,"3","5"
9,"2",26,"3","5"
9,"2",0,"0","5"
11,"1",7,"0","4"
11,"2",5,"0","4"
11,"2",2,"0","4"
11,"1",74,"0","4"
11,"2",73,"0","4"
11,"1",76,"0","4"
8,"2",20,"2","3"
8,"2",85,"0","3"
8,"2",9,"1","3"
6,"2",12,"1","4"
9,"1",7,"0","4"
9,"2",4,"0","4"
9,"1",0,"0","4"
9,"1",22,"2","4"
13,"2",22,"1","5"
13,"1",4,"0","5"
13,"2",1,"0","5"
13,"2",17,"2","5"
13,"2",20,"2","5"
13,"2",0,"0","5"
13,"1",26,"1","5"
13,"1",22,"2","5"
7,"2",12,"1","4"
7,"1",10,"1","4"
10,"1",0,"0","4"
10,"1",21,"3","4"
10,"2",18,"2","4"
10,"2",0,"0","4"
10,"1",18,"2","4"
6,"2",81,"0","4"
6,"1",0,"0","5"
8,"2",14,"2","3"
8,"2",7,"0","3"
8,"2",42,"0","3"
6,"1",80,"0","3"
7,"1",13,"1","2"
7,"2",64,"0","2"
8,"2",2,"0","3"
8,"1",1,"0","3"
8,"1",0,"0","3"
6,"2",55,"0","3"
12,"2",6,"1","2"
12,"2",24,"1","2"
12,"1",7,"1","2"
12,"2",5,"1","2"
12,"2",3,"0","2"
12,"2",20,"1","2"
12,"1",2,"0","2"
6,"1",0,"0","5"
7,"1",22,"3","3"
7,"2",5,"1","3"
10,"2",27,"0","4"
10,"1",10,"0","4"
10,"2",8,"0","4"
10,"2",2,"0","4"
10,"1",0,"0","4"
6,"2",67,"0","4"
7,"2",11,"1","2"
7,"1",8,"1","2"
11,"2",8,"0","2"
11,"2",6,"0","2"
11,"2",4,"0","2"
11,"1",2,"0","2"
